Tab,PrimaryPurpose,TypicalTools,PlacementNotes
Quick Diagnosis,"One-click walk-up triage and fast target checks.","Quick Diagnosis; Latest Report; Ping; TCPing; Tracert; NSLookup; DNS lookup; WHOIS; DISM/SFC after review; hardware shortcuts","Keep focused. Do not use as a dumping ground."
Computer Info,"Saved computer profiles and profile reports.","View; Take Profile; Delete; Refresh","Replaces old fingerprint wording."
Analyze,"Evidence collection and Windows health analysis.","Event Log Triage; Service Health; Startup Impact; Windows Update Health; GPResult HTML; Hardware Health; Disk Health; Driver Review; Remote Management Readiness","Use after Quick Diagnosis identifies an area to investigate."
Windows Update,"Update scan, history, download, install, uninstall, and repair.","Refresh Updates; Download Selected; Install Selected; Uninstall Selected; Repair Windows Update","Separate because update work is slow and stateful."
Hardware,"Hardware identity, device, driver, storage, and sensor utilities.","CPU-Z; GPU-Z; HWiNFO; HWMonitor; CrystalDiskInfo; PCI-Z; SSD-Z; Speccy; QuickMemoryTestOK","VMs may limit physical hardware visibility."
Crash,"BSOD, dump, reliability, crash event, and unexpected reboot work.","Minidump Collector; BlueScreenView; Reliability Monitor; Crash Event Summary","Collect dumps before opening dump viewers."
Processes,"Process, handle, DLL, startup, and resource inspection.","Process Explorer; Process Monitor; RAMMap; System Informer; TCPView; Autoruns","Process Monitor should be filtered before capture."
Network,"Endpoint connectivity, route, port, packet loss, and path testing.","Connectivity Triage; Adapter Route Health; Packet Loss Monitor; Live Route Trace; Test-NetConnection; PsPing; WinMTR; TLS Certificate Check","DHCP tools do not belong here unless they are only target connectivity checks."
Infrastructure,"DHCP, DNS, time, and local exposure checks.","DHCP Sleuth; DHCP Scope Inspector; DHCP Lease / Rogue Check; DNS Diagnostics; Time Sync Health; Reset to Domain Time; Local Exposure Inspector","Formerly Services. DHCP tools are grouped here."
Discovery,"Finding hosts, services, subnets, ARP neighbors, and wake targets.","Network Discovery; Port and Service Test; Service Fingerprinter; ARP Inventory Exporter; Subnet Calculator; Wake-on-LAN","Discovery scans should prompt clearly and avoid freezing the GUI."
Remote,"Remote access and file transfer.","Launch RDP; WinSCP; PuTTY; KiTTY; mRemoteNG; RustDesk; TightVNC; Enable Remote Management","Readiness checks belong on Analyze; enabling/connecting belongs here."
PsExec,"Guided PsExec command building and execution.","Target; credentials; elevation; interactive/system flags; captured output","Dedicated tab because argument prompts and output handling are required."
Directory,"Domain, Active Directory, secure channel, and Group Policy checks.","Domain Logon Health; GPO Health; GPResult; ADExplorer; ADInsight; ADRestore","Directory and policy work has distinct technician intent."
Security,"Malware, persistence, signatures, privacy, and hardening.","Microsoft Safety Scanner; Malwarebytes AdwCleaner; ClamWin; Autoruns; Sigcheck; HijackThis; xpy; password tools","Security scanners and persistence tools live together."
Wi-Fi,"Wireless-specific troubleshooting.","Wi-Fi Issue Scan; Wi-Fi Status; Wi-Fi Profiles; Wi-Fi Networks; Wi-Fi Backup / Restore","Separate from Network because wireless failures have distinct causes. Profile backup/restore is a wireless migration and recovery workflow."
Print,"Printer, spooler, queue, and stale printer artifact work.","Print Queue Maintenance; Print Spooler Triage; Stale Printer Cleanup","Custom print tools belong here."
Files,"File search, comparison, disk usage, and file-level utilities.","Everything; WizTree; WinDirStat; WinMerge; Kudu; Handle","Cleanup/removal-first tools should move to Clean Up."
Robocopy,"Plain-language robocopy builder.","Build; Copy; Preview; Run","Dedicated tab because this is a full workflow."
Software,"General portable productivity/support apps.","Firefox Portable; Notepad++; LibreOffice; Draw.io; KompoZer; safe download links","Do not mix Chocolatey management here."
Software Keys,"Local product/license key discovery.","Windows/software key discovery report","Treat outputs as confidential client data."
Clean Up,"Cleanup, uninstallers, stale profiles, leftovers, and recovery.","BleachBit; CCleaner; Bulk Uninstaller; Revo Uninstaller; Wise Registry Cleaner; Profile Cleanup; Recuva","Confirm scope before destructive cleanup."
Choco,"Chocolatey package discovery and install/update/uninstall workflows.","Install Chocolatey; Search; Install Selected; Scan Installed; Upgrade; Uninstall; Add to Toolbox","Separate computer-installed packages from toolkit-installed apps."
Sysinternals,"Fallback for Sysinternals tools with no better functional tab.","ShellRunas; portmon; notmyfault; obscure utilities","Move clear fits to functional tabs."
Reports,"Technician-facing outputs.","Search; Refresh Reports; Open Selected; Delete Selected; AI bundle/import/final report flows","Do not list raw logs or JSON noise here."
